Nummer,name,EW,S1,S2,S3,S4,D1,D2,D3,D4
07050506,Birnhornweg,2209,3.85,1.66,2.9,9.54,0.09,0.5,0.16,1.18
07060601,Marienfelder Allee Nordwest,9901,10.24,3.16,17.66,41.05,1.53,0.43,3.23,9.19
07060602,Kirchstraße,4606,4.62,1.44,4.62,10.29,0.12,0.12,-0.11,1.99
07060603,Marienfelde Nordost,2740,8.56,2.46,13.5,48.19,1.31,0.25,0.03,0.21
07060604,Marienfelde Süd,13843,9.77,3.38,16.69,43.88,-0.39,-0.06,-0.56,0.37
07070701,Kettinger Straße/Schillerstraße,10408,5.15,1.7,5.88,17.63,-0.1,0.22,-0.32,1.16
07070702,Alt-Lichtenrade/Töpchiner Weg,10151,5.3,2.07,7.34,17.06,-0.26,-0.02,0.02,1.1
07070703,John-Locke-Straße,7480,9.94,3.88,15.33,42.44,-0.79,-0.05,-0.46,0.31
07070704,Nahariyastraße,8128,12.81,4.4,23.49,59.5,0.97,-0.04,-0.15,1.88
07070705,Franziusweg/Rohrbachstraße,7008,3.86,1.48,4.08,10.21,0.06,0.19,-0.33,-0.84
07070706,Horstwalder Straße/Paplitzer Straße,3723,5.31,1.48,4.97,12.84,0.71,-0.3,-0.09,0.14
